# file	kind	table	name — generated by scripts/check-migrations.mjs
260807-cafe24-orders-provider.sql	column	orders_cache	provider
260807-cafe24-orders-provider.sql	index	orders_cache	uk_orders_channel
260808-answer-reuse.sql	table	answer_reuse	-
260808-cafe24-customer-identifier.sql	column	customers	cafe24_user_identifier
260808-cafe24-customer-identifier.sql	index	customers	uq_customers_tenant_cafe24_uid
260808-cafe24-member-orders.sql	column	customers	cafe24_member_id
260808-cafe24-member-orders.sql	index	customers	uq_customers_tenant_cafe24_mid
260808-cafe24-member-orders.sql	column	orders_cache	member_id
260808-cafe24-member-orders.sql	column	orders_cache	ordered_at
260808-cafe24-member-orders.sql	index	orders_cache	idx_ordc_tenant_member
260808-cafe24-member-orders.sql	index	orders_cache	idx_ordc_tenant_ordered
260808-issue-p2.sql	table	external_tickets	-
260808-issues-p1.sql	table	issues	-
260808-issues-p1.sql	table	issue_events	-
260808-issues-p1.sql	column	tenants	workflow_mode
260808-seed-default-moderation.sql	data	-	-
260808-tenant-timezone.sql	column	tenants	timezone
260808-tenant-widget-copy.sql	column	tenants	widget_copy
260809-issue-backlog.sql	column	external_tickets	last_inbound_message_id
260809-issue-p3.sql	column	external_tickets	status
260809-issue-p5.sql	table	knowledge_gap_tasks	-
260812-backfill-default-job-labels.sql	data	-	-
260820-ai-agents.sql	table	ai_agents	-
260820-ai-agents.sql	column	sessions	ai_agent_id
260820-ai-agents.sql	column	tenant_ai_config_revisions	ai_agent_id
260820-ai-agents.sql	column	agent_coaching_threads	ai_agent_id
260825-agent-console.sql	column	ai_agents	display_name
260825-agent-console.sql	column	ai_agents	greeting
260825-agent-console.sql	index	sessions	idx_sessions_tenant_agent
260826-conversation-pin.sql	column	conversations	pinned_at
260826-conversation-pin.sql	column	conversations	pinned_by
260826-conversation-pin.sql	index	conversations	idx_conv_tenant_pinned
260910-tenant-usage-guides-flag.sql	column	tenants	usage_guides_enabled
260911-tenant-assets.sql	table	tenant_assets	-
260911-tenant-custom-css-flag.sql	column	tenants	custom_css_enabled
260911-widget-design-revisions.sql	table	widget_design_revisions	-
