"category","title","content","external_key","source_url"
"HA · Đối soát & thanh toán","Lịch đối soát và hạn hoàn tất để nhận thanh toán","Go2Joy gửi đối soát sau mỗi kỳ kinh doanh, 2 kỳ trong 1 tháng (kỳ 1 và kỳ 2, ví dụ kỳ 2 tháng 8 = 16/08–31/08), để khách sạn chốt số lượng và tổng công nợ đặt phòng của kỳ đó.

Hạn hoàn tất: khách sạn hoàn tất đối soát trước 16h30 Thứ Tư sẽ nhận thanh toán công nợ trước 17:00 Thứ Năm cùng tuần. Hoàn tất sau 16h30 Thứ Tư thì đối soát được thanh toán vào Thứ Năm tuần kế tiếp. Khách sạn cần kiểm tra và báo các đặt phòng sai sót cho bộ phận hỗ trợ trước hạn đối soát; sau thời điểm đó số liệu ghi nhận sẽ không được chỉnh sửa.

Quy tắc kèm theo:
- Các booking không có khiếu nại sẽ được tự động xác nhận đúng như trên bảng đối soát.
- Không thể hoàn tất đối soát kỳ này nếu kỳ trước vẫn đang khiếu nại đặt phòng.
- Kỳ không phát sinh đặt phòng và không có công nợ chưa thanh toán sẽ được hệ thống tự động hoàn tất.
- Đối soát nằm ở menu Quản lý đối soát (Đối soát & Thanh toán) trên Hotel Admin.

Nguồn: màn hình Quản lý đối soát, Hotel Admin v23.3.0 (16/09/2026).","GTJ-HA-POL-01-VI","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","Reconciliation schedule and the deadline to get paid","Go2Joy issues a reconciliation after each business period, twice a month (period 1 and period 2, e.g. period 2 of August = 16–31 Aug), so the hotel confirms the booking count and total debt for that period.

Deadline: a hotel that completes the reconciliation before 16:30 on Wednesday receives the debt payment before 17:00 on Thursday of the same week. If it is completed after 16:30 Wednesday, payment moves to Thursday of the following week. Check the bookings and report any errors to the support team before the deadline; after that the recorded figures cannot be changed.

Related rules:
- Bookings without a complaint are automatically confirmed as shown on the reconciliation.
- A period cannot be completed while the previous period still has a booking under complaint.
- A period with no bookings and no outstanding debt is completed automatically.
- Menu: Booking reconciliation management (Reconciliation & Payment) in Hotel Admin.

Source: Reconciliation screen, Hotel Admin v23.3.0 (2026-09-16).","GTJ-HA-POL-01-EN","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","Quy trình hoàn tất đối soát và khiếu nại đặt phòng trong đối soát","Trạng thái một kỳ đối soát: Chưa đối soát → (Đang khiếu nại) → Chờ xác minh → Hoàn tất. Khi khách sạn gửi khiếu nại, kỳ chuyển sang ""Gửi Go2Joy xử lý""; Go2Joy sẽ đồng ý xử lý, từ chối xử lý, hoặc gửi lại đối soát đã xử lý khiếu nại.

Cách hoàn tất: mở Quản lý đối soát → chọn kỳ → kiểm tra danh sách đặt phòng (nên dùng ""Tải Excel"" để đối chiếu) → tick hai xác nhận: (1) bảng đối soát hiện tại đúng và đủ các đặt phòng trong kỳ, (2) số tiền công nợ là đúng theo số tiền trong kỳ → Xác nhận hoàn tất đối soát.

Cách khiếu nại một đặt phòng: trong chi tiết đối soát chọn đặt phòng → Khiếu nại → chọn loại: ""Khiếu nại Sai thông tin đặt phòng"" hoặc ""Khiếu nại Khách không nhận phòng"" (ngoài ra có ""Khiếu nại khác"") → nhập nội dung khiếu nại (bắt buộc) → gửi. Loại khiếu nại là danh mục cố định của hệ thống, không tự thêm được. Sau khi Go2Joy xử lý, khách sạn xem tại ""Xem chi tiết xử lý khiếu nại""; nếu muốn tiếp tục khiếu nại một đặt phòng đã được xử lý, liên hệ CSKH Go2Joy.

Lưu ý: khiếu nại phải gửi trước hạn đối soát; booking không khiếu nại được tự xác nhận đúng.

Nguồn: Quản lý đối soát, Hotel Admin v23.3.0 (16/09/2026).","GTJ-HA-POL-02-VI","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","How to complete a reconciliation and file a booking complaint","Period statuses: Not reconciled → (Under complaint) → Awaiting verification → Completed. When the hotel files a complaint the period moves to ""Sent to Go2Joy for processing""; Go2Joy then accepts, rejects, or re-sends the reconciliation with the complaint processed.

To complete: open Reconciliation management → pick the period → check the booking list (use ""Download Excel"" to compare) → tick both confirmations: (1) the reconciliation is correct and complete for the period, (2) the debt amount matches the period → Confirm completion.

To complain about a booking: in the reconciliation detail select the booking → Complaint → choose the type: ""Wrong booking information"" or ""Guest did not check in"" (plus ""Other complaint"") → enter the complaint content (required) → send. Complaint types are fixed system categories; new ones cannot be added. After Go2Joy processes it, see ""View complaint processing detail""; to continue disputing a booking that was already processed, contact Go2Joy customer service.

Note: complaints must be sent before the reconciliation deadline; bookings without a complaint are auto-confirmed.

Source: Reconciliation management, Hotel Admin v23.3.0 (2026-09-16).","GTJ-HA-POL-02-EN","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","Công thức công nợ, phí hoa hồng, thuế GTGT/TNCN và phí dịch vụ","Các công thức hệ thống hiển thị trong đối soát và báo cáo đặt phòng (chỉ đọc số hệ thống đã tính, không tự tính lại):

- Tiền phòng = Giá phòng + Sản phẩm đặt kèm + Phụ thu.
- Tổng thanh toán = Giá phòng + Phụ thu + Sản phẩm đi kèm.
- Doanh thu thuần của khách sạn = (Tiền phòng + Phụ thu + Sản phẩm đi kèm) − Giảm giá của khách sạn.
- Phí hoa hồng = (Giá phòng − Khách sạn KM + Phụ thu) × Mức phí hoa hồng đặt phòng + Sản phẩm đặt kèm × 10%. Mức phí hoa hồng theo hợp đồng của từng khách sạn, hiển thị ở Thông tin khách sạn → Tình trạng (ví dụ ""Hợp đồng (15.0%)"").
- Thuế GTGT = (Giá phòng − Khách sạn KM + Phụ thu) × 5%.
- Thuế TNCN = (Giá phòng − Khách sạn KM + Phụ thu) × 2%.
- Phí dịch vụ: khoản tính trên đặt phòng của mỗi người dùng; Go2Joy thu lại khoản này nếu khách thanh toán tại khách sạn. Một số đặt phòng được áp dụng ưu đãi phí dịch vụ.
- Công nợ = Tổng thanh toán (trừ phần Online) + Go2Joy KM − Phí hoa hồng − GTGT − TNCN − Phí dịch vụ. Kết quả dương ""(+) Go2Joy trả"", âm ""(−) Go2Joy thu""; phần chênh có thể ""Bù trừ ở kỳ sau"".
- Bảng công nợ tính trên các đặt phòng có ngày hoàn thành và các đặt phòng no-show đã trả trước trong khung thời gian ghi nhận của kỳ.

Nguồn: tooltip màn hình Đối soát và Báo cáo đặt phòng, Hotel Admin v23.3.0 (16/09/2026).","GTJ-HA-POL-03-VI","https://ha.go2joy.vn/user-booking-report-detail"
"HA · Đối soát & thanh toán","Debt, commission, VAT/PIT and service-fee formulas","Formulas shown in the reconciliation and booking report screens (read the system figures, never recompute):

- Room revenue = Room price + Add-on products + Surcharge.
- Total payment = Room price + Surcharge + Add-on products.
- Hotel net revenue = (Room revenue + Surcharge + Add-on products) − Hotel discounts.
- Commission fee = (Room price − Hotel promotion + Surcharge) × booking commission rate + Add-on products × 10%. The commission rate is per hotel contract and shown under Hotel information → Status (e.g. ""Contracted (15.0%)"").
- VAT = (Room price − Hotel promotion + Surcharge) × 5%.
- PIT = (Room price − Hotel promotion + Surcharge) × 2%.
- Service fee: charged on each user's booking; Go2Joy collects it back when the guest pays at the hotel. Some bookings carry a service-fee discount.
- Debt = Total payment (excluding online-paid part) + Go2Joy promotion − Commission − VAT − PIT − Service fee. Positive = ""(+) Go2Joy pays"", negative = ""(−) Go2Joy collects""; differences may be ""offset in the next period"".
- The debt table covers bookings with a completion date plus prepaid no-show bookings inside the period's recording window.

Source: tooltips on the Reconciliation and Booking report screens, Hotel Admin v23.3.0 (2026-09-16).","GTJ-HA-POL-03-EN","https://ha.go2joy.vn/user-booking-report-detail"
"HA · Đối soát & thanh toán","Tải đối soát, báo cáo và danh sách đặt phòng qua email công nợ","File Excel đối soát, báo cáo đặt phòng và danh sách đặt phòng không tải trực tiếp mà được gửi về ""email nhận đối soát / email công nợ"" mà khách sạn đã đăng ký với Go2Joy. Sau khi bấm Tải đối soát / Tải Báo cáo / Tải danh sách, hệ thống báo ""Kiểm tra email của bạn"" và email thường đến sau 2–3 phút.

Nếu hiện thông báo ""Tài khoản của bạn chưa đăng ký email nhận đối soát với Go2Joy"", làm theo 3 bước: Bước 1: đăng nhập Hotel Admin bằng tài khoản admin (chủ khách sạn). Bước 2: vào Quản lý nhân viên. Bước 3: chọn tài khoản và cập nhật ""Email công nợ"".

Khi tải đối soát có thể chọn khách sạn (nếu quản lý nhiều khách sạn) và chọn nhiều kỳ. Danh sách đặt phòng tải theo khoảng thời gian nhận phòng, tối đa 3 tháng. Kỳ không có dữ liệu sẽ báo ""Kỳ đối soát không có dữ liệu"".

Nguồn: Quản lý đối soát / Báo cáo đặt phòng / Quản lý đặt phòng, Hotel Admin v23.3.0 (16/09/2026).","GTJ-HA-POL-04-VI","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","Downloading reconciliations, reports and booking lists by debt e-mail","Reconciliation Excel files, booking reports and booking lists are not downloaded directly: they are e-mailed to the ""reconciliation / debt e-mail"" the hotel registered with Go2Joy. After clicking Download reconciliation / Download report / Download list the system shows ""Check your e-mail""; the mail usually arrives within 2–3 minutes.

If you see ""Your account has not registered an e-mail to receive reconciliations with Go2Joy"": Step 1: log in to Hotel Admin with the admin (owner) account. Step 2: open Staff management. Step 3: select the account and update the ""Debt e-mail"".

When downloading a reconciliation you can pick the hotel (multi-hotel accounts) and several periods at once. Booking lists are exported by check-in date range, up to 3 months. A period without data returns ""No data in this reconciliation period"".

Source: Reconciliation / Booking report / Booking management screens, Hotel Admin v23.3.0 (2026-09-16).","GTJ-HA-POL-04-EN","https://ha.go2joy.vn/booking-reconciliation"
"HA · Đối soát & thanh toán","Yêu cầu cập nhật tài khoản ngân hàng nhận thanh toán công nợ","Công nợ của khách sạn được Go2Joy thanh toán qua tài khoản ngân hàng đăng ký trong mục Tài khoản ngân hàng. Để đổi tài khoản: mở Tài khoản ngân hàng → Yêu cầu cập nhật tài khoản → nhập số tài khoản, tên người thụ hưởng, chọn ngân hàng → tick xác nhận → Gửi yêu cầu. Go2Joy tiếp nhận và liên hệ lại khách sạn để xác nhận trước khi thay đổi; kết quả (được phê duyệt / bị từ chối kèm lý do) hiển thị trong Lịch sử cập nhật tài khoản và thông báo.

Quy tắc: không gửi thêm yêu cầu khi còn yêu cầu khác đang xử lý; có thể chỉnh sửa hoặc hủy yêu cầu đang xử lý (khi hủy, khách sạn tiếp tục dùng tài khoản hiện tại). Trong lúc chờ Go2Joy xác minh thông tin thanh toán mới, đối soát sẽ tự động chuyển sang Hoàn tất và được thanh toán theo lịch sau khi xác minh thành công.

Điều khoản khách sạn xác nhận khi gửi: thông tin tài khoản là chính xác và dùng thống nhất trong giao dịch với Go2Joy; Go2Joy được miễn trừ trách nhiệm với tranh chấp thanh toán khi khách sạn ủy quyền bên thứ ba nhận thanh toán hộ; nội dung cập nhật là một phần không tách rời của Hợp đồng hợp tác và có hiệu lực từ ngày thay đổi.

Nguồn: Tài khoản ngân hàng, Hotel Admin v23.3.0 (16/09/2026).","GTJ-HA-POL-05-VI","https://ha.go2joy.vn/bank-account"
"HA · Đối soát & thanh toán","Requesting a change of the bank account that receives debt payments","Go2Joy pays the hotel's debt to the bank account registered under Bank account. To change it: open Bank account → Request account update → enter account number, beneficiary name, choose the bank → tick the confirmation → Send request. Go2Joy receives the request and contacts the hotel to confirm before changing anything; the result (approved / denied with a reason) appears in the account update history and notifications.

Rules: no new request while another is being processed; a pending request can be edited or cancelled (on cancellation the hotel keeps using the current account). While Go2Joy verifies the new payment details, the reconciliation automatically moves to Completed and is paid on schedule once verification succeeds.

Terms the hotel confirms on sending: the account information is accurate and used consistently in transactions with Go2Joy; Go2Joy is released from liability for payment disputes where the hotel authorises a third party to receive payments on its behalf; the update is an integral part of the Cooperation Contract and takes legal effect from the change date.

Source: Bank account screen, Hotel Admin v23.3.0 (2026-09-16).","GTJ-HA-POL-05-EN","https://ha.go2joy.vn/bank-account"
